"processed","published_datetime","reporter_name","story_title","story_subhead","story_url","reserved"
"False","2012-04-28T09:00:00.000","Pte Bloggins","Navy: Strip Clubs And Bars To Be Installed Aboard Aircraft Carriers","WASHINGTON, D.C. - The Pentagon announced today that the Navy will be installing strip clubs and bars aboard all aircraft carriers. The unusual move…","https://www.duffelblog.com/navy-strip-clubs-and-bars-to-be-installed-aboard-aircraft-carriers"
"False","2012-04-29T13:00:00.000","Sgt B","Military Can't Figure Out What The Hell To Do With MRAPs, Re-Invades Iraq","Camp Arifjan, Kuwait - Secretary of Defense Leon Panetta recently paid a visit to Kuwait to view the large stock of Mine Resistance Ambush Protected…","https://www.duffelblog.com/dod-asks-what-to-do-with-all-these-fing-mraps"
"False","2012-04-30T09:00:00.000","Jake Slager","Marine Cook Awarded Navy Cross For 'Best Instant Eggs The Colonel Has Ever Eaten'","CAMP MUJUK, KOREA – Some Marines get awarded medals for distinguished service on the battlefield, but one young PFC has been given a Navy Cross for an…","https://www.duffelblog.com/marine-cook-awarded-navy-cross-for-outstanding-achievement-in-field-mess"
"False","2012-05-01T09:00:05.000","Sgt B","Duffel Blog Writers Launch Surprise Air Assault On Onion News Network","NEW YORK, NY - Late last night the Onion News Network editorial offices were rocked by a surprise attack from masked gunmen assaulting from helicopters…","https://www.duffelblog.com/needs-photo-duffel-blog-writers-launch-surprise-air-assault-on-onion-news-network"
"False","2012-05-02T09:00:00.000","Sgt B","SPC Smith Really Wants You To Do Police Call, Claims 1SG Said To","FORT BRAGG, NC - SPC Jason Smith is a high-speed E-4. He has been in the Army for ten, count em', ten years. During his service, he's been put in charge…","https://www.duffelblog.com/spc-smith-really-wants-you-to-do-a-police-call-said-1sg-said-to"
"False","2012-05-03T09:00:00.000","G-Had","President Obama Visits Afghanistan, Shoots Three Taliban Fighters","FORWARD OPERATING BASE SALERNO — Today the American people are recovering from the shocking news that President Barack Obama came under enemy fire…","https://www.duffelblog.com/president-obama-visits-afghanistan-shoots-three-taliban"
"False","2012-05-04T09:00:00.000","Pte Bloggins","Kilts Make Comeback For The British Army","LONDON, UK - Camouflage and cargo pants have been the standard for armies throughout the world for years -- including the United Kingdom. But that's all…","https://www.duffelblog.com/uk-army-to-wear-kilts-into-combat-again-following-research"
"False","2012-05-05T09:00:19.000","G-Had","IED Emplacement Postponed For Another Goddamned Safety Brief","TREKH NAWA, AFGHANISTAN – The planned emplacement of an improvised explosive device (IED) on Main Service Road Tulley was delayed again, according to…","https://www.duffelblog.com/ied-emplacement-postponed-for-another-goddamned-safety-brief"
"False","2012-05-06T13:00:00.000","Jake Slager","Boredom, Liver Cleanliness Determined Cause Of Death In Okinawa Barracks Tragedy","Camp Foster, Okinawa – The Marines of Barracks 5718 were shocked after learning of the tragic death of one of their comrades this morning. Corporal…","https://www.duffelblog.com/liver-cleanliness-determined-cause-of-death-in-okinawa-barracks-tragedy"
"False","2012-05-07T08:15:58.000","G-Had","Marine Scout Sniper 'Burning Cross' Logo Raises Controversy","CAMP PENDLETON, CA – The Marine Corps' Scout Sniper community has once again found itself embroiled in controversy this week, following the recent…","https://www.duffelblog.com/marine-scout-sniper-burning-cross-logo-raises-controversy"
"False","2012-05-08T09:00:23.000","Dirty Mac","Art Criticism Draws Outrage From Guantanamo Detainees","Guantanamo Bay, Cuba - Guantanamo Bay (GITMO) is home to the toughest and worst offenders in the war on terror. Its been criticized for the treatment of…","https://www.duffelblog.com/art-criticism-draws-outrage-from-guantanamo-detainees"
"False","2012-05-09T09:00:05.000","armydave","In Stunning 5-4 Decision, Supreme Court Declares Air Force Unconstitutional","WASHINGTON, D.C. — The U.S. Supreme Court, in a shocking decision, declared the U.S. Air Force unconstitutional earlier today. In a 5-4 decision, the…","https://www.duffelblog.com/in-stunning-5-4-decision-supreme-court-declares-air-force-unconstitutional"
"False","2012-05-10T09:00:11.000","fernando","Wave Of Afghan Protests After Koran Burnings, Not Fans Of 'Twilight'","BAGRAM, AFGHANISTAN – Two months after the discovery that military forces in Bagram Air Base burned Korans and other holy material, Afghan protestors…","https://www.duffelblog.com/afghans-fight-fire-with-fire-in-response-to-koran-burnings"
"False","2012-05-11T09:00:09.000","Mike","Coast Guard Finally Shoots Something","NORTH BEND, OR — Many are confused by what the U.S. Coast Guard really is. Are they a security force, military branch, or something else? These…","https://www.duffelblog.com/coast-guard-finally-shoots-something"
"False","2012-05-12T09:00:34.000","G-Had","Intelligence Section Produces High-Quality Bullshit","FOB DELARAM, AFGHANISTAN – In the mountains of Farah Province, a dismounted rifle patrol from 3rd Battalion, 25th Marines prepares to depart the wire…","https://www.duffelblog.com/intelligence-section-produces-high-quality-bullshit"
"False","2012-05-13T13:00:00.000","Jake Slager","North Korea Launches Rubber Ducky Into Sea of Japan, Splashing Ensues","Washington, D.C. – Top military officials met with the President this week to discuss actions and further sanctions against North Korea. The meetings…","https://www.duffelblog.com/north-korea-launches-rubber-ducky-into-sea-of-japan-splashing-ensues"
"False","2012-05-14T09:00:29.000","armydave","Drill Sergeant Follows Through On Threat To 'Rip Out Heart and Snuff Soul' Of Recruit","FORT BENNING, GA — Earlier this week, Private First Class Jason Hentinger ceased to exist. Following a confrontation with Drill Sergeant Francis…","https://www.duffelblog.com/drill-sergeant-follows-through-on-threat-to-rip-out-heart-and-snuff-soul-to-recruit"
"False","2012-05-15T09:00:00.000","Stormtrooper","Marine Officer's Wife Emotionally Disturbed After Being Denied Salute","OKINAWA, Japan — Some have remarked that being a Marine Wife is the 'toughest job in the Corps,' but for one spouse, it's gotten even tougher. As she…","https://www.duffelblog.com/marine-officers-wife-emotionally-disturbed-after-denied-a-salute"
